Key,Frequently,Ranking
21-47,1432,477
12-47,1432,478
21-712,1432,479
3-758,1432,480
12-729,1432,481
4-632,1432,482
16-46,1432,483
3-47,1432,484
11-280,1423,485
7-153,1421,486
13-249,1421,487
7-51,1417,488
23-10,1416,489
19-48,1408,490
24-115,1408,491
19-68,1405,492
13-449,1405,493
7-123,1403,494
24-862,1402,495
11-746,1401,496
24-340,1398,497
22-4,1395,498
2-204,1393,499
18-512,1392,500
13-43,1389,501
11-44,1389,502
24-394,1386,503
5-2,1372,504
15-76,1366,505
24-92,1362,506
24-52,1357,507
15-329,1354,508
18-170,1352,509
1-33,1341,510
13-21,1331,511
2-46,1328,512
10-7,1325,513
18-40,1318,514
1-4,1308,515
18-68,1304,516
18-48,1304,517
4-400,1302,518
18-212,1297,519
11-24,1295,520
13-24,1295,521
13-117,1282,522
2-174,1281,523
15-96,1281,524
4-72,1268,525
24-59,1268,526
19-3,1266,527
11-135,1263,528
13-130,1263,529
13-31,1258,530
4-116,1258,531
11-32,1258,532
2-216,1257,533
13-41,1255,534
11-42,1255,535
15-132,1254,536
21-128,1243,537
16-125,1243,538
26-40,1242,539
2-106,1238,540
18-137,1237,541
8-12,1237,542
10-265,1231,543
26-24,1231,544
2-91,1230,545
14-17,1230,546
18-120,1228,547
16-58,1228,548
15-256,1227,549
16-68,1220,550
15-568,1218,551
18-389,1214,552
7-238,1211,553
15-85,1200,554
18-70,1200,555
13-118,1200,556
15-80,1200,557
24-81,1199,558
11-1029,1193,559
13-127,1192,560
2-77,1190,561
11-1073,1188,562
13-942,1188,563
7-144,1185,564
13-336,1175,565
7-32,1172,566
18-218,1172,567
15-293,1172,568
15-297,1171,569
18-331,1170,570
11-367,1170,571
10-22,1168,572
19-32,1163,573
15-454,1158,574
26-47,1151,575
7-378,1150,576
4-1,1145,577
26-1,1145,578
21-1,1145,579
3-1,1145,580
24-1,1145,581
12-1,1145,582
16-1,1145,583
13-113,1139,584
11-160,1137,585
7-142,1137,586
7-161,1137,587
2-70,1131,588
18-104,1131,589
15-56,1130,590
24-239,1127,591
26-44,1125,592
7-749,1123,593
15-101,1123,594
13-220,1121,595
18-198,1120,596
4-473,1119,597
11-804,1112,598
3-85,1112,599
12-85,1112,600
16-83,1112,601
4-78,1112,602
13-720,1112,603
21-85,1112,604
24-57,1111,605
2-169,1106,606
15-25,1105,607
7-273,1105,608
18-28,1101,609
15-30,1101,610
18-179,1094,611
19-11,1088,612
13-585,1088,613
13-1362,1084,614
18-313,1084,615
2-168,1084,616
11-76,1077,617
13-74,1077,618
10-5,1076,619
13-209,1075,620
11-224,1075,621
26-219,1073,622
13-35,1072,623
15-1030,1070,624
15-34,1069,625
15-35,1067,626
7-551,1065,627
11-341,1061,628
13-312,1061,629
15-141,1060,630
15-549,1056,631
12-4,1053,632
8-21,1053,633
18-282,1051,634
5-23,1050,635
7-1390,1048,636
2-177,1044,637
13-296,1044,638
11-325,1044,639
2-95,1040,640
15-222,1037,641
2-63,1037,642
2-103,1035,643
11-37,1033,644
13-36,1033,645
7-38,1033,646
1-10,1029,647
15-111,1029,648
11-578,1022,649
13-530,1022,650
24-169,1017,651
2-92,1015,652
11-588,1014,653
11-2145,1013,654
13-1770,1013,655
18-687,1011,656
15-198,1011,657
25-27,1006,658
18-347,1004,659
2-184,1004,660
18-163,1002,661
15-875,1002,662
2-105,999,663
24-17,999,664
18-314,998,665
21-20,997,666
16-20,997,667
12-20,997,668
3-20,997,669
4-19,997,670
18-134,993,671
7-265,991,672
2-175,990,673
13-244,989,674
11-265,989,675
10-1266,986,676
16-513,982,677
3-557,982,678
21-525,982,679
12-537,982,680
11-290,980,681
13-265,980,682
12-143,974,683
24-101,974,684
16-140,974,685
4-129,974,686
21-143,974,687
3-143,974,688
4-531,973,689
2-72,971,690
19-109,971,691
15-260,967,692
10-168,966,693
15-177,963,694
15-162,963,695
15-1,963,696
18-126,963,697
18-138,963,698
2-85,963,699
18-135,962,700
7-57,960,701
2-57,957,702
11-55,955,703
11-158,954,704
13-150,954,705
3-751,953,706
12-722,953,707
21-705,953,708
4-627,953,709
16-687,953,710
24-461,953,711
7-2289,951,712
24-63,950,713
7-127,950,714
18-85,949,715
26-33,948,716
7-1098,948,717
2-45,948,718
18-223,946,719
15-300,946,720
10-1040,946,721
16-133,945,722
21-136,945,723
1-19,940,724
18-175,938,725
1-9,938,726
7-204,935,727
15-47,931,728
26-90,929,729
7-3,928,730
13-108,921,731
18-94,916,732
10-215,914,733
4-64,911,734
12-70,911,735
16-69,911,736
3-70,911,737
21-70,911,738
7-242,910,739
3-244,909,740
4-213,909,741
16-234,909,742
12-240,909,743
15-606,909,744
21-237,909,745
18-161,908,746
24-104,906,747
4-134,906,748
15-881,905,749
15-44,904,750
24-193,904,751
7-673,903,752
7-771,903,753
16-147,902,754
3-151,902,755
12-151,902,756
21-150,902,757
26-574,899,758
7-1155,898,759
13-818,898,760
11-920,898,761
15-112,896,762
18-242,895,763
2-58,894,764
4-297,893,765
18-76,892,766
18-18,888,767
11-137,885,768
13-132,885,769
7-146,885,770
8-13,884,771
12-351,883,772
3-361,883,773
4-311,883,774
24-240,883,775
16-335,883,776
21-342,883,777
11-205,880,778
13-191,880,779
10-127,876,780
18-51,874,781
2-39,874,782
15-122,870,783
19-38,865,784
7-65,864,785
10-398,862,786
2-104,862,787
11-120,861,788
18-107,861,789
10-468,860,790
15-36,860,791
13-213,858,792
11-228,858,793
24-511,855,794
24-917,854,795
10-865,851,796
19-49,850,797
13-470,849,798
11-1616,849,799
13-1359,849,800
7-9,848,801
26-239,848,802
13-57,847,803
11-58,847,804
10-67,847,805
18-160,846,806
2-308,845,807
19-379,845,808
14-21,844,809
13-679,843,810
11-754,843,811
7-250,842,812
15-1675,840,813
15-605,840,814
11-38,837,815
13-37,837,816
5-20,836,817
13-727,836,818
26-241,836,819
11-812,836,820
18-303,831,821
24-889,831,822
24-6,831,823
4-1299,831,824
24-260,829,825
18-325,828,826
12-1562,828,827
21-1516,828,828
16-1454,828,829
3-1628,828,830
7-44,826,831
13-582,822,832
10-260,821,833
7-25,820,834
18-267,814,835
15-370,814,836
2-153,814,837
11-1620,813,838
26-135,812,839
26-390,810,840
11-315,810,841
7-301,810,842
13-288,810,843
7-353,809,844
18-623,809,845
18-341,809,846
24-186,808,847
19-175,806,848
15-232,805,849
11-43,803,850
2-276,803,851
18-609,803,852
13-42,803,853
11-334,800,854
13-305,800,855
7-282,799,856
11-103,799,857
13-101,799,858
26-34,796,859
12-558,794,860
13-97,792,861
12-136,791,862
18-154,791,863
18-110,791,864
15-136,791,865
2-74,791,866
21-264,788,867
1-50,787,868
24-289,786,869
10-38,786,870
12-269,786,871
18-615,785,872
18-7,782,873
7-261,780,874
16-429,779,875
13-50,778,876
7-1224,776,877
11-646,775,878
2-164,775,879
7-53,775,880
18-304,775,881
16-435,774,882
18-67,773,883
13-552,769,884
11-605,769,885
11-306,769,886
19-24,766,887
15-17,766,888
18-62,766,889
26-38,765,890
7-3143,765,891
15-245,763,892
3-59,759,893
7-221,759,894
21-59,759,895
12-59,759,896
19-20,758,897
15-117,752,898
10-457,751,899
7-1329,749,900
4-1060,747,901
21-1005,746,902
24-626,746,903
15-432,746,904
4-879,746,905
3-1072,746,906
12-1030,746,907
16-970,746,908
18-369,745,909
21-1204,742,910
12-1239,742,911
1-65,742,912
19-81,742,913
3-1293,742,914
16-1159,742,915
4-1043,742,916
7-225,741,917
2-44,741,918
18-65,741,919
5-10,740,920
10-441,739,921
18-409,739,922
13-316,736,923
24-26,736,924
11-345,736,925
13-531,736,926
7-999,734,927
24-32,732,928
4-37,732,929
15-145,731,930
7-288,730,931
8-2,728,932
7-580,727,933
15-531,727,934
4-146,727,935
26-332,727,936
15-392,724,937
26-383,722,938
4-2478,722,939
18-293,722,940
13-376,721,941
11-409,721,942
2-54,720,943
7-541,717,944
15-51,717,945
18-344,715,946
26-353,715,947
2-6,713,948
18-462,713,949
15-396,712,950
18-146,711,951
7-262,711,952
11-237,711,953
2-99,711,954
13-20,709,955
25-19,709,956
19-96,708,957
10-56,708,958
15-805,708,959
7-21,708,960
13-40,706,961
11-41,706,962
4-1588,706,963
11-718,705,964
15-60,705,965
4-2085,704,966
15-107,704,967
13-223,703,968
11-240,703,969
18-225,703,970
19-158,703,971
13-474,702,972
11-516,702,973
7-980,701,974
2-226,701,975
16-286,701,976
4-265,701,977
18-86,700,978
24-265,700,979
2-19,699,980
15-372,699,981
7-3331,698,982
18-187,697,983
15-253,697,984
24-2773,695,985
10-156,693,986
15-831,693,987
15-149,693,988
11-601,692,989
13-548,692,990
24-494,692,991
10-665,691,992
15-931,691,993
1-56,688,994
15-346,687,995
15-1461,686,996
18-881,686,997
4-467,685,998
24-122,684,999
2-80,684,1000
2-242,682,1001
8-32,681,1002
11-490,681,1003
11-447,679,1004
13-413,679,1005
11-365,677,1006
13-335,677,1007
15-566,677,1008
13-29,676,1009
15-161,675,1010
4-1524,675,1011
16-1704,675,1012
11-213,674,1013
13-198,674,1014
13-439,674,1015
25-21,674,1016
11-729,671,1017
13-658,671,1018
18-132,668,1019
13-100,668,1020
10-12,668,1021
15-182,668,1022
2-89,668,1023
18-378,667,1024
24-691,666,1025
3-454,665,1026
21-431,665,1027
4-389,665,1028
16-422,665,1029
12-440,665,1030
7-2555,664,1031
13-148,663,1032
11-132,661,1033
18-789,661,1034
11-697,661,1035
15-1261,661,1036
13-630,661,1037
26-366,660,1038
15-547,660,1039
10-163,660,1040
2-149,659,1041
7-120,656,1042
3-401,654,1043
16-372,654,1044
12-389,654,1045
21-380,654,1046
4-343,654,1047
7-735,652,1048
7-900,651,1049
13-899,650,1050
11-99,649,1051
13-260,649,1052
15-1314,646,1053
10-276,646,1054
15-173,644,1055
16-507,644,1056
11-738,643,1057
18-141,642,1058
15-940,641,1059
26-335,639,1060
16-334,638,1061
3-360,638,1062
12-350,638,1063
4-310,638,1064
21-341,638,1065
13-528,637,1066
4-719,633,1067
26-211,632,1068
10-1745,632,1069
3-352,631,1070
12-342,631,1071
24-233,631,1072
16-326,631,1073
4-302,631,1074
21-333,631,1075
13-497,630,1076
11-541,630,1077
4-246,626,1078
2-113,625,1079
10-2067,625,1080
4-995,623,1081
16-2358,622,1082
2-40,622,1083
8-10,622,1084
7-1215,622,1085
13-271,622,1086
18-52,622,1087
18-176,622,1088
26-177,622,1089
2-128,621,1090
24-1168,621,1091
18-204,621,1092
25-23,620,1093
13-317,619,1094
13-854,618,1095
5-18,618,1096
18-631,618,1097
10-534,616,1098
15-379,616,1099
18-246,615,1100
15-338,615,1101
11-375,614,1102
15-460,614,1103
13-343,614,1104
21-2446,613,1105
3-2656,613,1106
12-2551,613,1107
16-2330,613,1108
4-2063,613,1109
24-1372,613,1110
12-128,612,1111
3-128,612,1112
2-68,612,1113
1-1,611,1114
16-577,610,1115
13-9,610,1116
11-9,610,1117
13-824,609,1118
11-926,609,1119
7-536,607,1120
15-242,607,1121
11-261,606,1122
2-81,606,1123
13-241,606,1124
7-3134,604,1125
7-228,603,1126
11-633,603,1127
11-212,603,1128
11-217,602,1129
13-202,602,1130
4-891,601,1131
16-984,601,1132
12-1044,601,1133
21-1019,601,1134
3-1087,601,1135
10-209,601,1136
11-476,600,1137
1-49,600,1138
10-171,599,1139
24-141,599,1140
19-53,599,1141
18-102,598,1142
15-211,596,1143
4-307,596,1144
24-237,596,1145
21-338,596,1146
16-331,596,1147
15-610,595,1148
2-143,594,1149
18-241,594,1150
15-443,594,1151
18-377,593,1152
2-23,592,1153
15-159,591,1154
13-143,591,1155
12-203,590,1156
3-207,590,1157
4-176,590,1158
16-197,590,1159
21-200,590,1160
10-1936,590,1161
4-79,589,1162
10-850,588,1163
13-625,588,1164
18-6,588,1165
18-169,587,1166
2-109,587,1167
15-123,585,1168
10-18,584,1169
2-176,584,1170
15-127,584,1171
16-795,583,1172
7-374,583,1173
10-279,583,1174
12-843,583,1175
3-878,583,1176
21-820,583,1177
10-724,582,1178
19-482,581,1179
2-41,581,1180
18-54,581,1181
10-897,581,1182
15-62,581,1183
10-1908,581,1184
10-131,580,1185
13-520,579,1186
11-567,579,1187
24-319,578,1188
7-286,578,1189
19-99,578,1190
13-324,577,1191
11-354,577,1192
10-295,576,1193
24-918,576,1194
4-1345,576,1195
3-1683,576,1196
12-1616,576,1197
16-1506,576,1198
21-1569,576,1199
10-304,576,1200
11-258,575,1201
2-60,575,1202
2-271,575,1203
13-126,574,1204
4-334,574,1205
26-194,574,1206
18-158,573,1207
18-119,572,1208
11-792,572,1209
13-713,572,1210
26-639,571,1211
13-752,571,1212
11-840,571,1213
15-559,571,1214
7-992,571,1215
12-264,571,1216
11-292,571,1217
3-269,571,1218
13-267,571,1219
13-222,570,1220
7-82,570,1221
10-111,570,1222
10-143,570,1223
18-90,569,1224
2-236,568,1225
2-25,567,1226
1-72,567,1227
16-112,565,1228
13-270,564,1229
7-170,564,1230
13-289,564,1231
11-295,564,1232
18-346,563,1233
12-115,563,1234
18-211,563,1235
3-115,563,1236
21-115,563,1237
2-183,563,1238
24-62,563,1239
12-1217,562,1240
3-1271,562,1241
21-1182,562,1242
15-807,562,1243
16-1139,562,1244
13-428,560,1245
11-464,560,1246
2-30,559,1247
18-36,559,1248
24-372,558,1249
13-328,557,1250
7-989,557,1251
13-791,556,1252
19-21,556,1253
10-144,556,1254
11-216,554,1255
13-201,554,1256
4-710,554,1257
11-1384,553,1258
26-696,553,1259
2-255,553,1260
13-1191,553,1261
7-927,553,1262
24-111,552,1263
10-546,552,1264
15-480,552,1265
18-822,550,1266
10-273,550,1267
2-331,550,1268
21-406,549,1269
15-274,549,1270
2-212,549,1271
12-415,548,1272
15-915,548,1273
2-127,547,1274
11-1321,545,1275
18-278,545,1276
15-289,545,1277
15-387,545,1278
7-802,545,1279
18-215,545,1280
13-1141,545,1281
10-57,545,1282
24-849,544,1283
24-1607,544,1284
10-191,543,1285
14-14,543,1286
10-183,542,1287
26-2120,542,1288
4-77,541,1289
2-49,541,1290
18-71,541,1291
21-84,541,1292
12-84,541,1293
15-777,541,1294
11-239,541,1295
3-84,541,1296
16-82,541,1297
2-233,541,1298
11-966,540,1299
15-521,540,1300
24-143,539,1301
16-199,539,1302
4-178,539,1303
15-69,539,1304
12-205,539,1305
21-202,539,1306
15-322,538,1307
7-160,538,1308
7-692,537,1309
2-209,536,1310
10-239,536,1311
19-239,535,1312
15-129,534,1313
10-219,534,1314
15-184,533,1315
4-244,533,1316
18-415,533,1317
15-248,532,1318
12-62,531,1319
3-62,531,1320
4-57,531,1321
18-127,531,1322
2-86,531,1323
21-62,531,1324
16-61,531,1325
24-47,531,1326
7-55,530,1327
21-519,529,1328
1-8,529,1329
2-211,529,1330
18-26,529,1331
11-358,529,1332
25-32,526,1333
14-8,526,1334
16-470,526,1335
21-480,526,1336
15-503,523,1337
15-375,523,1338
15-625,522,1339
7-968,522,1340
11-576,521,1341
18-153,520,1342
18-166,519,1343
13-64,519,1344
11-65,519,1345
24-1351,518,1346
7-1510,518,1347
18-264,518,1348
24-347,518,1349
18-683,517,1350
2-291,517,1351
10-1286,517,1352
13-363,517,1353
13-264,516,1354
18-417,515,1355
18-332,515,1356
26-232,514,1357
13-166,513,1358
18-402,513,1359
11-180,513,1360
1-40,513,1361
3-789,512,1362
16-724,512,1363
12-759,512,1364
4-658,512,1365
21-742,512,1366
12-333,511,1367
16-317,511,1368
3-342,511,1369
4-295,511,1370
21-324,511,1371
11-211,510,1372
13-197,510,1373
10-232,509,1374
13-820,509,1375
13-119,509,1376
11-123,509,1377
15-236,508,1378
2-279,508,1379
11-284,507,1380
15-77,507,1381
15-92,507,1382
15-976,507,1383
15-65,507,1384
13-349,506,1385
11-381,506,1386
15-1087,503,1387
13-377,502,1388
11-410,502,1389
2-327,502,1390
15-286,501,1391
15-59,501,1392
15-258,501,1393
7-315,500,1394
11-1613,499,1395
13-1357,499,1396
7-631,498,1397
13-507,498,1398
15-672,498,1399
11-553,498,1400
3-958,497,1401
7-379,497,1402
16-866,497,1403
21-896,497,1404
12-921,497,1405
15-229,496,1406
13-174,496,1407
15-425,495,1408
24-507,494,1409
19-246,494,1410
13-462,493,1411
11-27,493,1412
11-101,493,1413
13-27,493,1414
18-472,493,1415
13-99,493,1416
10-993,490,1417
7-323,489,1418
25-15,489,1419
24-479,489,1420
11-360,488,1421
15-457,488,1422
13-330,488,1423
11-415,487,1424
15-477,487,1425
13-382,487,1426
11-116,486,1427
15-325,486,1428
26-202,485,1429
13-115,484,1430
11-118,484,1431
26-171,484,1432
24-147,483,1433
2-87,483,1434
18-185,483,1435
10-560,483,1436
18-128,483,1437
13-353,483,1438
15-7,482,1439
4-94,481,1440
16-100,481,1441
2-230,481,1442
24-76,481,1443
7-959,480,1444
7-67,480,1445
18-487,480,1446
13-338,479,1447
15-1368,479,1448
7-760,479,1449
15-24,479,1450
26-533,478,1451
11-889,478,1452
25-7,478,1453
15-287,478,1454
7-1103,477,1455
12-1572,477,1456
4-1307,477,1457
21-1526,477,1458
16-1464,477,1459
7-115,477,1460
24-895,477,1461
7-256,477,1462
3-1638,477,1463
8-36,476,1464
7-183,476,1465
21-103,476,1466
3-103,476,1467
12-103,476,1468
10-3726,476,1469
24-928,476,1470
7-1114,475,1471
15-72,475,1472
8-27,475,1473
15-54,474,1474
15-417,474,1475
7-1559,474,1476
7-345,474,1477
4-196,473,1478
11-21,473,1479
7-99,471,1480
24-282,471,1481
4-366,471,1482
13-279,470,1483
13-690,470,1484
18-742,470,1485
11-766,470,1486
15-489,469,1487
11-305,469,1488
10-591,468,1489
21-323,467,1490
21-1461,467,1491
12-1505,467,1492
15-544,467,1493
4-1253,467,1494
16-316,467,1495
16-1402,467,1496
12-332,467,1497
3-341,467,1498
24-229,467,1499
4-294,467,1500
3-1570,467,1501
11-477,465,1502
15-327,465,1503
10-1233,465,1504
11-134,465,1505
13-440,465,1506
13-129,465,1507
7-786,464,1508
11-384,464,1509
11-647,464,1510
13-586,464,1511
13-351,464,1512
7-747,464,1513
15-53,463,1514
26-45,463,1515
15-87,463,1516
15-463,462,1517
7-1870,462,1518
10-298,462,1519
13-1085,462,1520
11-1248,462,1521
7-838,462,1522
7-450,461,1523
2-152,460,1524
19-128,459,1525
16-1778,459,1526
7-1620,459,1527
4-7,459,1528
12-566,458,1529
12-1917,458,1530
16-540,458,1531
21-552,458,1532
5-11,458,1533
3-587,458,1534
3-1992,458,1535
4-498,458,1536
21-1857,458,1537
10-35,457,1538
13-69,457,1539
15-458,456,1540
24-427,456,1541
15-94,456,1542
26-401,455,1543
11-106,454,1544
15-1662,454,1545
13-104,454,1546
18-983,454,1547
21-92,454,1548
3-502,453,1549
7-1420,452,1550
11-1094,452,1551
13-962,452,1552
18-262,452,1553
24-178,451,1554
13-262,451,1555
11-286,451,1556
15-268,450,1557
15-364,450,1558
11-1560,449,1559
18-632,449,1560
19-222,449,1561
13-38,448,1562
4-3706,448,1563
11-39,448,1564
16-204,447,1565
21-207,447,1566
11-428,447,1567
4-183,447,1568
3-214,447,1569
12-210,447,1570
13-394,447,1571
11-420,446,1572
13-387,446,1573
11-498,445,1574
19-489,445,1575
7-169,445,1576
13-456,445,1577
